Vendor_ID,Company,Owner_Name,Phone,Address,Registration_Date
VEN129,Date Ltd,Ishaan Bhatt,07589178390,"00/766, Swaminathan Zila, Srinagar 592124",2023-08-30
VEN130,"Nair, Raj and Wali",Sudiksha Tiwari,6118367365,"15, Munshi Marg, Dindigul-711116",2021-06-02
VEN131,"Pradhan, De and Bhasin",Jason Roy,06049451983,"158, Contractor Path, Chapra-689980",2023-08-07
VEN132,"Loke, Balakrishnan and Gole",Dayamai Nori,00229612018,"75, Pingle Street, Anantapur-022901",2022-03-01
VEN133,Samra-Sunder,Oeshi Mahajan,+918156149784,"90, Jayaraman Nagar, Rajpur Sonarpur 445107",2022-11-02
VEN134,Dayal Group,Xiti Pandya,+916060715969,"H.No. 16, Nair Nagar, Tadipatri-516136",2023-07-06
VEN135,Viswanathan-Brar,Dayita Nori,+915218188355,"H.No. 243, Dua Street, Belgaum-799799",2022-05-20
VEN136,"Mutti, Dora and Sarraf",Upasna Sathe,4490581477,"H.No. 41, Tripathi Zila, Surendranagar Dudhrej 793597",2023-02-20
VEN137,Bhatia Group,Hemal Chad,2037788925,"65, Ben, Amritsar 186449",2021-08-24
VEN138,Bumb-Dhaliwal,Dayita Ramanathan,+919148652816,"H.No. 42, Om Ganj, Nellore 221418",2023-04-21
VEN139,"Vyas, Barad and Nayar",Krisha Dube,+912927065379,"834, Hari Chowk, Aurangabad 746886",2021-09-11
VEN140,Devi LLC,Vasana Prabhu,1814124782,"750, Bera Marg, Ambala-361530",2022-05-13
VEN141,Nayak and Sons,Balvan Mangat,02779010432,"H.No. 34, Batta Zila, Gurgaon-117980",2023-09-11
VEN142,"Khurana, Dhawan and Manne",Aarav Pandit,+919621851888,"06, Kulkarni Path, Raurkela Industrial Township 531952",2021-03-12
VEN143,Nigam-Gill,Varenya Gopal,+911704303054,"H.No. 03, Parikh Road, Bathinda-156676",2022-06-13
VEN144,Taneja Ltd,Jhalak Venkataraman,01616928451,"44/796, Sawhney Street, Amroha 596401",2023-11-11
VEN145,Ghost Shell Trading,Azaan Dhar,7021355690,"H.No. 57, Devan Zila, Sikar-431027",2025-12-25
VEN146,Dalal-Lala,Sanaya Kala,4731217271,"18/844, Ghosh Street, Danapur 132370",2022-07-17
VEN147,"Pillay, Sibal and Dayal",Dominic More,07866912517,"892, Sant Street, Amravati-422535",2023-03-20
VEN148,Brar-Krishna,Anvi Dass,4981829922,"H.No. 109, Kade Road, Tadipatri 784473",2023-12-03
VEN149,Mishra-Setty,Darpan Dugar,06773592555,"H.No. 88, Nagar Zila, Kirari Suleman Nagar-473210",2022-03-29
